ABC‐boek | ABC-book
bergamot | bergamot
bergamotolie | bergamot
bergbeklimmer | Alpinist
bergbeklimming | mountaineering
bergen | putaway
bergengte | defile
berggeit | chamois
berghelling | mountainslope
berghok | shed
berghut | Alpinehut
berging | salvage
bergingsmaatschappĳ | salvagecompany
bergingsvaartuig | salvagevessel
bergkam | mountainridge
bergketen | chainofmountains
bergkloof | chasm
bergkristal | rock‐crystal
bergloon | salvage
berglucht | mountainair
bergmuis | lemming
bergpaadje | mountainpath
bergpad | mountainpath
bergpas | defile
bergrug | mountainridge
bergruimte | box‐room
bergschoen | mountaineeringboot
bergstroom | torrent
bergtop | mountainpeak
bericht | ad
berichten | acquaint
beril | beryl
berilsteen | beryl
berin | she‐bear
berispen | blame
berisping | observation
berk | birch
berkeboom | birch
berkelium | berkelium
berm | shoulder
beroemdheid | fame
beroemd maken | putonthemap
beroemd persoon | celebrity
beroeps‐ | professional
beroerd | bad
beroering | agitation
beroerte | fit
berooid | miserable
berouw | compunction
berouwen | regret
berouwvol | contrite
berouw hebben | repent
berouw hebben van | feelsorryfor
beroving | robbery
berrie | stretcher
berucht | notorious
beruiken | smell at
berusten | be deposited
berusting | acquiescence
beryllium | beryllium
berĳdbaar | passable
berĳden | driveover
berĳmen | rhyme
berĳpt | frosted
beschaafdheid | goodbreeding
beschaamd | ashamed
beschaamdheid | shame
beschaamd maken | puttoshame
beschaamd staan | beashamed
beschadigen | damage
beschadiging | damage
beschaduwde plek | shade
beschaduwen | castashadow
beschamen | puttoshame
beschamend | humiliating
bescheid | document
bescheidenheid | modesty
beschermeling | protégé
beschermelinge | protégée
beschermengel | guardianangel
beschermer | patron
beschermgeest | genius
beschermheer | patron
beschermheilige | patron
bescherming | auspices
beschieting | firing
beschikbaar | available
beschikbaar stellen | makeavailable
beschikken over | absorb
beschikking | disposition
beschilderen | paintover
beschimmeld | mouldy
beschimmelen | getmouldy
beschimpen | jeer
beschoeiing | campshedding
beschonken | drunk
beschonkenheid | drunkenness
beschot | dash‐board
beschouwelĳk | contemplative
beschouwen | account
beschouwend | contemplative
beschouwer | spectator
beschouwing | examination
beschroomd | afraid
beschrĳvend | descriptive
beschrĳving | account
beschuit | bicuit
beschuldigde | accused
beschuldigend | accusatory
beschuldigen van | accuseof
beschuldiger | accuser
beschutten | shelter
beschutting | protection
beschĳnen | lightup
besef | notion
beseffen | understand
besje | gammer
beslag | attachment
beslaglegging | attachment
beslag leggen op | layadistressupon
beslapen | sleepon
beslechten | compose
beslissen | decide
beslissend | decisive
beslissing | decision
beslissingswedstrĳd | decider
beslistheid | decision
beslist niet | definitelynot
beslist noodzakelĳk | absolute
beslommeringen | worries
besloten | private
besloten vennootschap | company
besluipen | stalk
besluiteloos | irresolute
besluiteloosheid | infirmityofpurpose
besluitvorming | decision‐making
besmeren | anoint
besmet | contaminated
besmettelĳk | catching
besmettingshaard | sourceofinfection
besneeuwd | snowy
besnoeiing | abatement
besnuffelen | smellat
besnĳden | circumcise
besnĳdenis | circumcision
bespannen | harness
besparen | save
besparing | economy
bespatten | spatter
bespelen | play
bespeuren | descry
bespieden | spy
bespieder | spy
bespiegelend | speculative
bespiegeling | speculation
bespiegelingen houden | speculate
bespioneren | keepaneyeon
bespoedigen | accelerate
bespotten | jeerat
bespotting | derision
besprenkelen | sprinkle
bespringen | leapupon
besproeien | irrigate
besproeiing | watering
bespuiten | spray
best | best
bestaanbaar | possible
bestaansminimum | subsistenceminimum
bestaan van | liveon
bestand | dossier
besteden | payout
besteding | expenses
bestek | bulk
bestel | system
bestelbiljet | order‐form
besteldienst | parcelsdelivery
bestelen | rob
bestelkaart | order‐form
bestellen | deliver
besteller | applicant
bestelling | order
bestemmen | destine
bestemmen voor | destinefor
bestemming | destiny
bestemmingsplan | developmentplan
bestendig | abiding
bestendigen | continue
bestoken | harass
bestormen | assault
bestorming | assault
bestraffen | punish
bestraffing | punishment
bestralen | irradiate
bestraten | pave
bestrooien | sprinkle
bestrĳden | challenge
bestrĳken | command
bestuderen | study
bestudering | study
bestuiving | pollination
besturen | administer
besturing | steering
besturingsprogramma | devicedriver
besturingssysteem | operatingsystem
bestuurlĳk | administrative
bestuursapparaat | machineofgovernment
bestĳgen | ascend
betalen | pay
betaling | payment
betamelĳk | decent
betamem | beappropriate
betamen | befit
betasten | feel
betekenisleer | semantics
betekenisvol | significant
beter maken | cure
beter worden | recover
beteugelen | bridle
beteuterd | dazed
betimmeren | board
beting | bit
betitelen | title
betoging | demonstration
betomen | bridle
beton | concrete
betonie | betony
betoog | argumentation
betoveren | bewitch
betovering | delusion
betrachten | exert
betrappen | surprise
betreffende | about
betrekkelĳk | relative
betrekken | entangle
betrekking | relation
betreuren | besorryabout
betreurenswaardig | regrettable
betrokken | concerned
betrouwbaar | reliable
betuigen | affirm
betwistbaar | debatable
betwisten | challenge
beuk | beech
beuken | thrash
beul | hangman
beuling | sausage
beunhazen | botch
beuren | lever
beursgebouw | stockexchange
beursnotering | exchangerate
beursstudent | exhibitioner
beurt | file
beuzelachtig | insignificant
beuzelarĳ | trifle
bevallen | givebirth
bevalligheid | grace
bevangen | abashed
bevattelĳk | intelligent
bevatten | comprise
bevattingsvermogen | intelligence
beveiliging | protection
beveiligingsbeambte | securityofficer
bevelen | command
bevelschrift | command
bevelvoerend | incharge
beven | quiver
bever‐ | beaver
bever | beaver
beverrat | coypu
bevestigen | attach
bevestigend | affirmative
bevinden | ascertain
bevinding | conclusion
beving | quiver
bevlekken | soil
bevlieging | caprice
bevloeien | irrigate
bevloeiing | watering
bevochtigen | dampen
bevoegd | able
bevoelen | feel
bevolking | population
bevoordelen | favor
bevoorraden | provide
bevoorrading | arrival
bevoorrecht | privileged
bevorderaar | patron
bevorderlĳk | advantageous
bevredigen | meetwith
bevredigend | satisfactory
bevreemden | amaze
bevreemdend | amazing
bevreemding | astonishment
bevreesd | afraid
bevriend | friendly
bevriezen | freeze
bevroren | frozen
bevrĳden | release
bevuilen | soil
bewaarder | guard
bewaarheid worden | cometopass
bewaken | guard
bewaker | guard
bewaking | guard
bewandelen | follow
bewapenen | arm
bewaren | putaway
bewaren voor | guard
bewaring | conservation
beweegbaar | mobile
beweeglĳkheid | agility
beweegreden | account
bewegen | move
beweging | agitation
bewegingsvrĳheid | elbow‐room
bewenen | mourn
beweren | assert
bewering | contention
bewerker | adaptor
bewerkstelligen | accomplish
bewerkt | adapted
bewimpelen | mask
bewind | control
bewindsman | minister
bewogenheid | emotion
bewolkt | dismal
bewonderaar | admirer
bewonderaarster | admirer
bewonderen | admire
bewonderend | admiring
bewonderenswaardig | admirable
bewondering | admiration
bewoning | habitation
bewust | concerned
bewusteloos | unconscious
bewusteloos raken | faint
bewustzĳn | awareness
bewĳsgrond | argument
bewĳs van erkentelĳkheid | acknowledgement
bewĳzen | demonstrate
bezaaid | covered
bezegelen | seal
bezem | broom
bezemen | sweep
bezeren | hurt
bezet | busy
bezetene | lunatic
bezetten | occupy
bezielend | inspiring
bezieling | inspiration
bezienswaardig | worthseeing
bezig | busy
bezigheid | activity
bezig houden | occupy
bezig zĳn | act
bezingen | sing
bezinning | awareness
bezitten | own
bezitting | estate
bezittingen | possessions
bezoedelen | soil
bezoek | visit
bezoeken | frequent
bezoeker | caller
bezoekersregister | visitor'sregister
bezoeking | agony
bezoldiging | salary
bezonken | mature
bezorgd | agitated
bezorgdheid | anxiety
bezorgd zĳn | care
bezorgen | bring
bezorging | arrival
bezuinigen | save
bezuiniging | economy
bezwaar | difficulty
bezwaar hebben tegen | confront
bezwering | oath
bezwĳken | succumb
bezwĳmen | faint
bezwĳming | faint
bezĳden | beside
beëdigde verklaring | affidavit
beëindigd | completed
beëindigen | finish
beëindiging | accomplishment
beërven | inherit
beïnvloeden | act
bibberen | quiver
bibliografie | bibliography
bibliothecaris | librarian
bidsnoer | rosary
biecht | confession
biechten | confess
bief | steak
biefstuk | steak
bier | ale
bierbrouwen | brew
bieslook | chive
biet | beet
bieten‐ | beet
bietsuiker | beetsugar
bikini | bikini
bikken | eat
bil | buttock
biljart | billiards
biljartspel | billiards
biljet | bill
billĳk | fair
billĳken | approve
billĳkheid | justice
binair | binary
bindend | compulsory
binding | bond
bindweefselontsteking | cellulite
binnen | a
binnenband | innertube
binnenbrengen | pilot
binnendringen | penetrate
binnengaan | goin
binnenin | inside
binnenkomen | comeinto
binnenkort | soon
binnenkrĳgen | engulf
binnenlands | aboriginal
binnenlaten | admit
binnenlopen | goin
binnenplaats | court
binnenrukken | invade
binnenvallen | invade
binnenwerk | inside
binocle | binoculars
biograaf | biographer
biologeren | hypnotize
bioloog | biologist
bioscoop | cinema
bioscoopfilm | movie
biosfeer | biosphere
bips | backside
bis | encore
bisamrat | musk‐rat
biscuit | biscuit
biseksueel | 
AC | 
bismut | bismuth
bisschop | bishop
bisschoppelĳk | episcopal
bistro | café
bitmap | bitmap
bits | abrasive
bitter | acerbic
bitteraarde | magnesium
bitterheid | acerbity
bittersteen | jade
bitterzoet | bittersweet
bitter worden | becomebitter
bizar | bizarre
bizon | bison
blaag | naughtyboy
blaam | observation
blaar | blister
blaas | bladder
blaasinstrument | windinstrument
blaasje | blister
blad | leaf
bladeren | leafthrough
bladertooi | foliage
bladstil | airless
bladwĳzer | bookmark
bladzĳde | page
blad van een roeiriem | blade
blaffen | bark
blafhert | barkingdear
blaken | glow
blaker | candlestick
blanco | blank
blanco cheque | blankcheque
blanco volmacht | blankcheque
blank | white
blanke | European
blanketsel | makeup
blanketten | makeup
blaten | bleat
blauw | blue
blauwdruk | plan
blauwe bosbes | blueberry
blauwe plek | bruise
blazen | blow
blazoen | badge
bleek | pale
bleek worden | fade
bleken | blanch
blessure | injury
blik | sheetmetal
blikje | can
blikken | sheetmetal
blikopener | canopener
bliksem | lightning
bliksemen | lighten
bliksems | darn
bliksemschicht | lightning
blind | blind
blinde | blind
blindedarmontsteking | appendicitis
blindenschrift | Braille
blinde bĳ kaarspel | ghost
blindheid | blindness
blind maken | dazzle
blinken | shine
blo | abashed
blocnote | notepad
bloed | blood
bloedarm | anaemic
bloedbad | massacre
bloedbevlekt | blood‐stained
bloeden | bleed
bloedend | bloody
bloedgetuige | martyr
bloedig | bloody
bloedrood | bloodred
bloedschande | incest
bloedvergieten | bloodshed
bloedverwant | relative
bloedverwanten | relations
bloedwei | serum
bloed aftappen | bleed
bloei | prosperity
bloeien | besuccesful
bloeiend | abloom
bloeimaand | May
bloem | flour
bloemblad | petal
bloemenkrans | crown
bloemkelk | chalice
bloemkool | cauliflower
bloemperk | bed
bloempot | flowerpot
bloemschikken | arrangeflowers
bloes | blouse
bloesem | blossom
blok | block
blokkade | blockade
blokkeren | block
blond | blond
bloot | bare
blos | red
blozen | blush
bluffen | boast
blussen | extinguish
blutsen | bruise
blĳ | happy
blĳdschap | gladness
blĳheid | gladness
blĳk | character
blĳkbaar | apparently
blĳken | pointouttobe
blĳspel | comedy
blĳvend | abiding
blĳven aandringen | persevere
blĳven branden | stayon
blĳven haken | clingto
blĳven staan | halt
blĳ zĳn | beglad
blèren | yell
boa | boa
bobbelig | coarse
bobine | bobbin
bochel | bump
bocht | refuse
bodem | bottom
boe | boo
boeddhisme | Buddhism
boeddhist | Buddhist
boef | cheat
boeg | bow
boegseren | drag
boegspriet | wit
boeien | fetter
boeiend | absorbing
boek | book
boekanier | buccaneer
boekband | binding
boekdeel | volume
boekdrukken | print
boekdrukker | printer
boekenkast | bookcase
boekentas | briefcase
boekenverzameling | bookcollection
boekenwinkel | bookshop
boekerĳ | library
boeket | bouquet
boekhandelaar | bookseller
boekhouden | accounting
boekhouder | book‐keeper
boekhouding | accounting
boekjaar | financialyear
boekje | booklet
boekwerk | work
boekwinkel | bookshop
boel | accumulation
boeltje | possessions
boemelen | debauch
boemeltrein | slowtrain
boer | farmer
boerderĳ | estate
boeren | belch
boerenbond | farmers'union
boers | rural
boerten | jest
boete | fine
boeten | mend
boete doen | dopenance
boetseren | model
boetvaardig | contrite
boetvaardigheid | repentance
boezelaar | apron
boezem | bosom
bof | luck
boffen | belucky
bogen op | beproudof
bokaal | goblet
bokkesprongen maken | caper
bokking | redherring
bokser | boxer
bokssport | boxing
bolderik | corncockle
bolletje | roll
bolsjewiek | Bolshevik
bom | bomb
bombardement | shelling
bon | coupon
bona fide | earnest
bonbon | bonbon
bondgenootschap | alliance
bondig | concise
bondigheid | brevity
bondsstaat | confederation
bongerd | orchard
bonk | bit
bonte kraai | crow
bonus | bonus
boodschap | commission
boodschappen doen | shop
boogvormig bouwsel | arch
boom‐ | arboreal
boom | tree
boomgaard | orchard
boompje | bush
boomschors | bark
boomstam | stem
boor | bore
boord | bank
boordevol | brimming
boordwerktuigkundige | flightengineer
boos | angry
boosaardig | malicious
boosaardigheid | craft
booswicht | criminal
boos worden | getangry
boos zĳn | beangry
boos zĳn op | beangry
boot | bark
bootje | littleboat
borax | borax
bord | board
bordendoek | tea‐towel
bordes | platform
bordje | saucer
bordpapier | cardboard
borduren | embroider
boren | bore
borgstelling | pledge
borg staan voor | guarantee
boring | calibre
borium | boron
borrel | dram
borsjt | borscht
borst | bosom
borstel | brush
borstelen | brush
borstelig | bristly
borstholte | chest
borstkas | chest
borstspeld | brooch
bos | forest
bosbes | blueberry
bosbok | bushbuck
bosje | tuft
bosjes | shrubbery
bospaadje | forestpath
bospad | forestpath
bossanova | bossanova
bot | crude
botanica | botany
botanie | botany
boter | butter
boterham | breadandbutter
botsen | collide
botsen met | collidewith
botsing | collision
bottelen | bottle
botten | bud
botweg | abruptly
bot maken | blunt
boud | brave
bouffante | shawl
bougie | plug
bouillon | bouillon
boulevard | boulevard
bouquet | bouquet
bourgeois | middleclasscitizen
bourgeoisie | bourgeoisie
bourgogne | burgundy
bout | iron
bouw‐ | arable
bouwen | build
bouwer | builder
bouwkundig | architectonic
bouwkunst | architecture
bouwland | farmland
bouwmeester | architect
bouwondernemer | builder
bouwsteen | brick
bouwterrein | building‐plot
bouwvakker | builder
bouwval | ruin
bouwvallig | decayed
bouwwerk | building
boven‐ | upper
boven | above
bovenarm | upperarm
bovenbeen | thigh
bovendien | besides
bovengenoemd | above
bovengronds | aerial
bovenkant | upperside
bovenkomen | emerge
bovenmatig | extreme
bovenop | ontopof
bovenstaand | above
bovenste | upper
boventoon | overtone
bovenzĳde | upperside
bowling | bowling
box | stall
boze | devil
boze geest | demon
braadpan | casserole
braaf | brave
braam | blackberry
braamstruik | blackberry
braden | roast
braille | Braille
brailleschrift | Braille
braken | throwup
bramsteng | topgallantmast
brancard | stretcher
branche | branch
brand | conflagration
brandbaar | flammable
brandbom | incendiarybomb
brandend | afire
brandend maagzuur | heartburn
brandewĳn | brandy
brandhout | firewood
brandkast | strong‐box
brandmelder | fire‐alarm
brandmerk | brand
brandmerken | brand
brandnetel | nettle
brandpunt | focus
brandspiritus | methylatedspirit
brandstichtend | incendiary
brandstof | fuel
brandverf | enamel
brasem | bream
brassen | debauch
breed | broad
breedte | width
breedvoerig | extensive
breeuwen | calk
breidel | bridle
breien | knit
brein | brain
breinaald | knittingneedle
breipen | knittingneedle
breisteek | loop
brem | greenweed
brems | gadfly
brengen | bring
bres | breach
bretels | braces
brevet | diploma
brief | epistle
briefje | bank‐note
briefkaart | postcard
briefpapier | writing‐paper
bries | breeze
brievenbesteller | postman
brievenbus | letterbox
brigade | brigade
briket | bar
bril | glasses
briljant | bright
brilslang | cobra
broccoli | broccoli
broche | brooch
brochure | leaflet
broeden | incubate
broeden op | incubate
broeierig | airless
broeinest | firebox
broek | shortpants
broekdragend | trouserswearing
broers en zussen | brothersandsisters
broertje | littlebrother
brok | fragment
brombeer | grouser
bromfiets | moped
brommen | murmur
bron | fountain
brons | bronze
bronst | heat
bronzen | bronze
brood | bread
broodje | roll
broodkruimel | crumb
broodwinning | profession
broodwortel | cassava
brouwsel | beverage
brug | bridge
bruid | bride
bruidsschat | dowry
bruikbaar | ofuse
bruiloft | wedding
bruiloftsfeest | wedding
bruiloftsplechtigheid | wedding
bruin | brown
bruinharig | brunette
bruinogig | browneyed
bruinvis | porpoise
bruisen | foam
brutaal | audacious
brutaliteit | impertinence
bruusk | abrupt
bruut | brute
brĳ | gruel
budget | budget
buffel | buffalo
buffer | buffer
buffet | buffet
bui | caprice
buidelrat | opossum
buigbaar | flexible
buigen | bend
buiging | bow
buigzaam | flexible
buik‐ | abdominal
buik | abdomen
buikig | fat
buikloop | diarrhoea
buikpĳn | stomachache
buit | accession
buiten‐ | external
buiten | outside
buitenband | cover
buitendien | besides
buitengewoon | extraordinary
buitenkansje | luck
buitenland | foreigncountry
buitenlander | alien
buitenlands | alien
buitenlandse | foreigner
buitennissig | extravagant
buitensluiten | exclude
buitensporig | excessive
buitensporigheid | excess
buitenste | outer
buitenverblĳf | villa
buitenwaarts | out
buiten adem | breathless
buiten beschouwing laten | leaveoutofaccount
buiten de waard rekenen | miscalculate
buiten kennis | unconscious
buiten werking stellen | shutoff
buiten westen | unconscious
buitmaken | plunder
buit maken | achieve
bukken | bend
buksboom | box‐tree
bul | diploma
bulldozer | bulldozer
bulletin | bulletin
bult | bump
bultenaar | hunchback
bultig | coarse
bumper | buffer
bundel | bunch
bungalow | bungalow
bungelen | swing
bunker | bunker
burcht | castle
bureau | bureau
bureaucratie | bureaucracy
bureel | bureau
burger‐ | civic
burgerlĳk | bourgeois
burgerlĳke staat | civilstatus
burgerman | middleclasscitizen
bus | hub
bushalte | busstop
busje | fueltank
buskruit | gunpowder
busstation | busstation
bustehouder | bra
buur | neighbour
buurman | neighbour
buurt | district
buurtschap | hamlet
buxus | box‐tree
byte | byte
bĳ‐ | incidental
bĳbel | bible
bĳboeken | enter
bĳbrengen | teach
bĳdehand | adroit
bĳdetĳds | modern
bĳdoen | add
bĳdraaien | break‐down
bĳeen | together
bĳeenbinden | connect
bĳeenbrengen | join
bĳeenkomen | assemble
bĳeenkomst | assemblage
bĳeenroepen | convoke
bĳeenschakelen | coordinate
bĳeenvoegen | puttogether
bĳenhouder | apiarist
bĳenkorf | beehive
bĳenschans | apiary
bĳenstal | apiary
bĳenteelt | bee‐keeping
bĳenwas | beeswax
bĳenzwerm | swarmofbees
bĳgaand | accompanying
bĳgeloof | superstition
bĳgelovig | superstitious
bĳgevolg | accordingly
bĳkans | almost
bĳkomend | accessory
bĳkomstig | accessory
bĳkomstigheid | accessory
bĳl | axe
bĳlage | addition
bĳmengen | add
bĳna | almost
bĳnaam | byname
bĳna ... zĳn | abutonto
bĳnier | adrenalgland
bĳpassend | conforming
bĳprodukt | wasteproduct
bĳschuiven | advance
bĳslaap | coition
bĳstaan | abet
bĳstand | aid
bĳstellen | adjust
bĳster | quite
bĳsturen | correct
bĳtellen | countin
bĳtoon | overtone
bĳtĳds | attherighttime
bĳvak | subsidiarysubject
bĳvallen | agreewith
bĳvoegen | add
bĳvoeglĳk | adjectival
bĳvoeglĳke bepaling | attribute
bĳvoeglĳk naamwoord | adjective
bĳvoegsel | adjunct
bĳvoorbeeld | forexample
bĳvrouw | concubine
bĳwerk | accessory
bĳwonen | attend
bĳwoord | adverb
bĳwoordelĳk | adverbial
bĳwĳlen | severaltimes
bĳzaak | accessory
bĳziend | near‐sighted
bĳzonder | apart
bĳzonderheid | detail
bĳzĳn | presence
bĳ acclamatie | byacclamation
bĳ acclamatie benoemen | acclaim
bĳ elkaar | altogether
bĳ gebrek aan | intheabsenceof
bĳ gelegenheid | bychance
bĳ gelegenheid van | ontheoccasionof
bĳ het aanbreken van de dag | atdaybreak
bĳ nacht | atnight
bĳ toerbeurt | inturn
bĳ toeval | byaccident
bĳ tĳd en wĳlen | nowandthen
bĳ uitzondering | apartfrom
bĳ vergissing | bymistake
bĳ verrassing | aback
bĳ verstek | inone'sabsence
bĳ voorbeeld | forexample
bĳ voorkeur | preferably
bĳ voorkomende gelegenheden | iftheoccasionarises
bĳ voortduring | constantly
bĳ wĳlen | nowandthen
bĳ wĳze van | as
bĳ wĳze van spreken | sotospeak
bèta | beta
cabaret | cabaret
cabine | cabin
cacao | cocoa
cachelot | cachalot
cachot | cell
cactus | cactus
cadeau | gift
cadeautje | littlepresent
cadeau geven | donate
cadmium | cadmium
cafetaria | cafetaria
café | café
cake | cake
calcium | calcium
calculator | calculator
calculeren | calculate
californium | californium
calorie | calorie
cambio | billofexchange
camera | camera
campagne | campaign
campanula | bellflower
camping | campingground
canaille | rabble
canapé | couch
candela | candle
cannelure | slot
canvas | canvas
capabel | able
capitool | capitol
capituleren | capitulate
capsule | capsule
captain | captain
capuchon | cowl
carambola | carambola
carbonpapier | carbonpaper
carburateur | carburettor
carga | cargo
carillon | carillon
carnaval | carnival
carrier | aircraft‐carrier
carrière | career
carrosserie | body
carrousel | carousel
carré | square
casco | hull
cash | incash
cash flow | cashflow
casino | casino
cassave | cassava
cassette | cassette
castreren | castrate
catalogiseren | catalogue
catalogus | catalogue
catarre | catarrh
catastrofaal | catastrophic
catastrofe | catastrophe
catechismus | catechism
categorie | category
categorisch | firm
cavalerie | cavalry
cavia | guinea‐pig
cañon | cañon
ceder‐ | cedar
ceder | cedar
cederhouten | cedar
ceintuur | belt
celebreren | celebrate
celibatair | bachelor
cello | cello
cement | cement
censureren | censor
censuur | censor
cent | cent
centaur | centaur
centaurie | knapwood
centavo | centavo
centimeter | centimetre
centraal | central
centrale | exchange
centrale verwarming | centralheating
centrum | centre
ceremonie | ceremony
ceremonieel | formal
ceremoniemeester | commissar
cerium | cerium
certificaat | certificate
certificeren | attest
cesium | caesium
cessie | abandonment
chagrĳnig | dismal
champagne | champagne
champignon | mushroom
chanson | chanson
chaos | chaos
chaotisch | chaotic
chaperonne | chaperon
chaperonneren | chaperon
chapiter | chapter
charge | assault
chargeren | exaggerate
charitas | charity
charitatief | charitable
charlatan | charlatan
charmant | charming
charme | charm
charmeren | charm
charter | charter
charteren | hire
chatri | chatri
chaufferen | drive
chauvinisme | chauvinism
chauvinist | chauvinist
checken | audit
checksum | checksum
chef | boss
chefkok | chef
chemicus | chemist
chemie | chemistry
cheque | check
chequeboekje | cheque‐book
chi | chi
chic | chic
chimaera | chimera
chimpansee | chimpanzee
chip | integratedcircuit
chirurg | surgeon
chirurgie | surgery
chirurgisch | surgical
chloor | chlorine
chocola | chocolate
chocolade | chocolate
choken | choke
cholera | cholera
choqueren | shock
christelĳk | Christian
christelĳke jaartelling | ChristianEra
christen | Christian
christendom | Christianity
christen worden | becomeaChristian
chroniqueur | chronicler
chroom | chromium
cichorei | chicory
cider | cider
cigarillo | cigarillo
cilinder | cylinder
cimbaal | cymbal
cinema | cinema
cipres | cypres
circa | about
circuit | circuit
circulaire | circular
circulatie | circulation
circuleren | beabout
circulerend | about
circumcisie | circumcision
circumflex | circumflex
circus | circus
cirkel | circle
citaat | citation
citadel | citadel
citer | zither
citeren | cite
citroen | lemon
citroenboom | lemon‐tree
citroensap | lemonjuice
civiel | civil
civiliseren | civilize
claim | claim
claimen | claim
clan | clan
clandestien | hidden
classificeren | classify
clausule | clause
clausuur | separation
cliché | cliché
clientèle | clientèle
cliënt | client
cloaca | sewer
closetpapier | toilet‐paper
clown | buffoon
club | club
clublid | clubmember
co‐ | co‐
coachen | coach
cobra | cobra
cocaïne | cocaine
cockpit | cabin
cocktail | cocktail
cocon | cocoon
code | code
codificeren | encode
coffeeshop | ashopwheredrugsaresold
cognac | brandy
coherent | coherent
colbert | jacket
collecteren | collect
collectie | collection
collectief | collective
collega | colleague
college geven | lecture
collier | necklace
colli's | bags
collo | bag
colonne | column
colporteren | peddle
combinatie | combination
combineren | combine
comfort | comfort
comfortabel | comfortable
comité | committee
commandant | commander
commanderen | command
commando | command
commandobrug | bridge
commentaar | annotation
commentaar leveren op | comment
commies | clerk
commissie | commission
commode | chest
commodore | commodore
communie | communion
communiqué | communication
communisme | communism
communist | communist
compact | compact
compartiment | compartment
compenseren | compensate
competent | able
competentie | ability
compilatie | compilation
compiler | compiler
compileren | compile
compleet | absolute
complement | adjunct
complet | outfit
completeren | complete
complex | complex
compliceren | complicate
compliment | compliment
complimenteren | compliment
component | component
componist | composer
compositie | composition
comprimeren | compress
computer | computer
computergeheugen | memory
concept | draft
concert | concert
concerto | concerto
concertzaal | concert‐room
concessie | abandonment
conciërge | porter
concluderen | abstract
conclusie | conclusion
concours | competition
concreet | concrete
concurrent | rival
concurrentie | competition
concurreren | compete
condens | moisture
conditie | condition
conditioneren | setconditions
condoleantie | condolences
condoleren | expresscondolences
condoom | condom
conducteur | conductor
conductor | guard
confederatie | confederation
conferentie | conference
confereren | deliberate
confessie | confession
confidentie | confidence
confisqueren | confiscate
conflict | conflict
conform | inaccordancewith
congestie | congestion
congres | congress
congresseren | attendacongress
congruent | compatible
congruent zĳn | coincide
congé | discharge
conjugeren | conjugate
conjunctie | conjunction
conjunctief | subjunctive
consciëntieus | conscientious
consequent | consistent
consequentie | consequence
conservatief | conservative
conservatorium | academyofmusic
conserveren | conserve
consigne | directions
consonant | consonant
constant | constant
constateren | ascertain
constellatie | condition
consternatie | alarm
constipatie | constipation
constipatie veroorzaken | constipate
constitutie | constitution
constitutioneel | constitutional
constructief | positive
construeren | build
consul‐generaal | consulgeneral
consul | consul
consulaat | consulate
consult | consultation
consultatie | consultation
consulteren | consult
consument | consumer
consumeren | consume
consumptie‐ĳs | ice
contact hebben | contact
contact hebben met | contact
contact maken met | contact
contact zoeken | chumup
contant | cash
contant geld | cashmoney
contemplatief | contemplative
continent | continent
continu | lasting
continueren | continue
conto | account
contrabande | contraband
contract | contract
contracteren | makeacontract
contrast | contrast
contrasteren | contrast
contributie | dues
contributie betalen | subscribe
controleren | audit
controleur | checker
controller | controller
controverse | controversy
conventie | convention
convergeren | converge
conversatie | conversation
converseren | converse
convocatie | parade
convoceren | convoke
copieus | plentiful
copuleren | havesex
copyright | copyright
corona | corona
corporatie | corporation
corps | corps
correct | correct
corregidor | Spanishmayor
corresponderen | correspond
corrigeren | correct
corroderen | corrode
corso | display
costuum | costume
coulant | accommodating
coulisse | flat
couplet | verse
coupon | coupon
coupé | compartment
courant | dailypaper
courgette | courgette
courtage | brokerage
cowboy | cowboy
coyote | coyote
coïtus | coition
coördineren | coordinate
crack | ace
credit | credit
creditzĳde | credit
crematie | cremation
cremeren | cremate
creperen | perish
creëren | create
crimineel | criminal
crisis | crisis
croquant | brittle
croquethamer | mallet
cru | crude
cruciaal | decisive
crucifix | crucifix
cruzeiro | cruzeiro
crème | cream
cultus | cult
cultuur | culture
cup | goblet
cureren | carefor
curieus | curious
curium | curium
cursor | cursor
cursus | class
curve | bend
cybernetica | cybernetics
cyclame | cyclamen
cyclamen | cyclamen
cycloon | cyclone
cyclus | cycle
cynisch | cynical
cĳfer | cipher
cĳferkunst | arithmetic
cĳns | tribute
daad | achievement
daadwerkelĳk | actual
daags | daily
daar | because
daaraan | it
daarbeneden | below
daarbinnen | inside
daarboven | above
daarbuiten | abroad
daarbĳ | besides
daardoor | onthataccount
daarenboven | andalso
daarentegen | allthetime
daarginds | overthere
daarheen | thatway
daarin | therein
daarlangs | lengthwise
daarmede | thereby
daarmee | thereby
daarna | afterwards
daarnaast | nearby
daarom | onthataccount
daaromheen | roundabout
daaronder | below
daarop | beyond
daarvan | fromthere
daarvoor | ahead
daar ... aan | it
daar ... vandaan | fromthere
daar staat tegenover | ontheotherhand
daas | gadfly
dactylus | date
dadel | date
dadelpalm | datepalm
dadelĳk | atonce
dader | culprit
dag‐en‐nachtevening | equinox
dagblad | dailypaper
dagbladschrĳfster | journalist
dagbladschrĳver | journalist
dagboek | diary
dagdroom | dream
dagelĳks | daily
dagen | assign
dageraad | dawn
dagkaart | day‐ticket
daglicht | daylight
dagorde | agenda
dagorder | agenda
dagtekenen | date
dagtekening | date
dagvaarden | assign
dagvaarding | summons
